paper,author,affiliations
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Nicolas Striebig,"ASIC and Detector Laboratory, Karlsruhe Institute of Technology, Hermann-von-Helmholtz-Platz 1, Karlsruhe, D-76344, Baden-Wurttemberg, Germany"
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Yusuke Suda,"Physics Program, Graduate School of Advanced Science and Engineering, Hiroshima University, 1-3-1 Kagamiyama, Higashihiroshima, 739-8526, Hiroshima, Japan"
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Hiroyasu Tajima,"Institute for Space-Earth Environmental Research, Nagoya University, Furo-cho, Chikusa-ku, Nagoya, 464-8602, Aichi, Japan; Kobayashi-Maskawa Institute for the Origin of Particles and the Universe, Nagoya University, Furo-cho, Chikusa-ku, Nagoya, 464-8601, Aichi, Japan"
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Janeth Valverde,"Department of Physics and Center for Space Sciences and Technology, University of Maryland Baltimore County, 1000 Hilltop Cir., Baltimore, MD 21250, Maryland, U.S.A.; NASA Goddard Space Flight Center, 8800 Greenbelt Rd, Greenbelt, MD 20771, Maryland, U.S.A."
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Maria Zurek,"Argonne National Laboratory, 9700 S. Cass Avenue, Lemont, IL 60439, Illinois, U.S.A."

The present and the future of modeling eclipsing binary systems,A. Prša,"Villanova University, Department of Astrophysics and Planetary Science, 800 Lancaster Ave, Villanova PA 19085"

Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Ling-Zhi Li,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Kai Li,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Xiang Gao,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Xiao-Dian Chen,"CAS Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, People's Republic of China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Shuai Feng,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Dong-Yang Gao,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Di-Fu Guo,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Xu Chen,"Shandong Key Laboratory of Optical Astronomy and Solar-Terrestrial Environment, School of Space Science and Technology, Institute of Space Sciences, Shandong University, Weihai, Shandong 264209, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Xing Gao,"Xinjiang Astronomical Observatory, Chinese Academy of Sciences, 150 Science 1-Street, Urumqi 830011, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Guo-You Sun,"Xingming Observatory, Urumqi 830011, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Shahidin Yaqup,"Xinjiang Astronomical Observatory, Chinese Academy of Sciences, 150 Science 1-Street, Urumqi 830011, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Chunhai Bai,"Xinjiang Astronomical Observatory, Chinese Academy of Sciences, 150 Science 1-Street, Urumqi 830011, China"
Optical Flares Detected on a Contact Binary: The First Photometric and Spectroscopic Analysis of a Long-period Low Mass Ratio Contact Binary HAT 307-0007476,Ali Esamdin,"Xinjiang Astronomical Observatory, Chinese Academy of Sciences, 150 Science 1-Street, Urumqi 830011, China"

Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,Jeet Amrit Pattnaik,"Department of Physics, Siksha 'O' Anusandhan, Deemed to be University, Bhubaneswar -751030, India"
Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,D. Dey,"Institute of Physics, Sachivalaya Marg, Bhubaneswar-751005, Odisha, India; Homi Bhabha National Institute, Training School Complex, Anushakti Nagar, Mumbai 400094, India"
Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,R. N. Panda,"Department of Physics, Siksha 'O' Anusandhan, Deemed to be University, Bhubaneswar -751030, India"
Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,M. Bhuyan,"Institute of Physics, Sachivalaya Marg, Bhubaneswar-751005, Odisha, India"
Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,S. K. Patra,"Department of Physics, Siksha 'O' Anusandhan, Deemed to be University, Bhubaneswar -751030, India"

Collisional study of Hilda and quasi-Hilda asteroids,P. S. Zain,"Instituto de Astrofísica de La Plata, CCT La Plata-CONICET-UNLP. Paseo del Bosque S/N (1900), La Plata, Argentina.; Facultad de Ciencias Astronómicas y Geofísicas, Universidad Nacional de La Plata. Paseo del Bosque S/N (1900), La Plata, Argentina."
Collisional study of Hilda and quasi-Hilda asteroids,R. P. Di Sisto,"Instituto de Astrofísica de La Plata, CCT La Plata-CONICET-UNLP. Paseo del Bosque S/N (1900), La Plata, Argentina.; Facultad de Ciencias Astronómicas y Geofísicas, Universidad Nacional de La Plata. Paseo del Bosque S/N (1900), La Plata, Argentina."
Collisional study of Hilda and quasi-Hilda asteroids,R. Gil-Hutton,"Grupo de Ciencias Planetarias, Dpto. de Geofísica y Astronomía, FCEFyN, UNSJ - CONICET, Av. J. I. de la Roza 590 oeste, J5402DCS Rivadavia, San Juan, Argentina."

The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,T. W. Shimwell,"ASTRON, the Netherlands Institute for Radio Astronomy, Postbus 2, NL-7990 AA Dwingeloo, The Netherlands; Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,C. L. Hale,"Astrophysics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford, OX1 3RH, UK; Institute for Astronomy, School of Physics and Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,P. N. Best,"Institute for Astronomy, School of Physics and Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,A. Botteon,"INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,A. Drabent,"Thüringer Landessternwarte, Sternwarte 5, D-07778 Tautenburg, Germany"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,M. J. Hardcastle,"Centre for Astrophysics Research, University of Hertfordshire, Hatfield, Herts, AL10 9AB, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,V. Jelić,"Ruđer Bošković Institute, Bijenička cesta 54, 10000 Zagreb, Croatia"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,J. M. G. H. J. de Jong,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,R. Kondapally,"Institute for Astronomy, School of Physics and Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,C. Tasse,"GEPI, Observatoire de Paris, Université PSL, CNRS, 5 Place Jules Janssen, 92190 Meudon, France; Department of Physics \& Electronics, Rhodes University, PO Box 94, Grahamstown, 6140, South Africa"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,R. J. van Weeren,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,W. L. Williams,"SKA Observatory, Jodrell Bank, Lower Withington, Macclesfield, SK11 9FT, United Kingdom"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,A. Bonafede,"DIFA - Università di Bologna, via P. Gobetti 93, 40129, Bologna; INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,M. Bondi,"INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,M. Brüggen,"Hamburg Observatory, University of Hamburg, Gojenbergsweg 112, 21029 Hamburg, Germany"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,G. Brunetti,"INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,J. R. Callingham,"ASTRON, the Netherlands Institute for Radio Astronomy, Postbus 2, NL-7990 AA Dwingeloo, The Netherlands; Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,F. De Gasperin,"INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,K. J. Duncan,"Institute for Astronomy, School of Physics and Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,C. Horellou,"Chalmers University of Technology, Onsala Space Observatory, SE-43992 Onsala, Sweden"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,S. Iyer,"Anton Pannekoek Institute for Astronomy, University of Amsterdam, Postbus 94249, 1090 GE Amsterdam, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,I. de Ruiter,"Anton Pannekoek Institute for Astronomy, University of Amsterdam, Postbus 94249, 1090 GE Amsterdam, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,K. Małek,"National Centre for Nuclear Research, Pasteura 7, 02-093 Warsaw, Poland"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,D. G. Nair,"Astronomy Department, Universidad de Concepción, Casilla 160-C, Concepción, Chile; Max Planck Institute for Radio Astronomy, Auf dem Hügel 69, 53121 Bonn, Germany"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,L. K. Morabito,"Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK; Institute for Computational Cosmology, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,I. Prandoni,"INAF-Istituto di Radioastronomia, Via P. Gobetti 101, 40129 Bologna, Italy"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,A. Rowlinson,"Anton Pannekoek Institute for Astronomy, University of Amsterdam, Postbus 94249, 1090 GE Amsterdam, The Netherlands; ASTRON, the Netherlands Institute for Radio Astronomy, Postbus 2, NL-7990 AA Dwingeloo, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,A. Shulevski,"ASTRON, the Netherlands Institute for Radio Astronomy, Postbus 2, NL-7990 AA Dwingeloo, The Netherlands; Kapteyn Astronomical Institute, University of Groningen, Landleven 12, 9747 AD Groningen, The Netherlands; Anton Pannekoek Institute for Astronomy, University of Amsterdam, Postbus 94249, 1090 GE Amsterdam, The Netherlands"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,D. J. B. Smith,"Centre for Astrophysics Research, University of Hertfordshire, Hatfield, Herts, AL10 9AB, UK"
The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. I. The ELAIS-N1 field,F. Sweijen,"Centre for Extragalactic Astronomy, Department of Physics, Durham University, South Road, Durham DH1 3LE, UK"

Solar oblateness & asphericities temporal variations: outstanding some unsolved issues,Jean P. Rozelot,"Université Côte d'Azur, 77 Chemin des Basses Moulières, 06130 Grasse, France"
Solar oblateness & asphericities temporal variations: outstanding some unsolved issues,Alexander G. Kosovichev,"Center for Computational Heliophysics and Department of Physics, New Jersey Institute of Technology, Newark, NJ 07102, USA"
Solar oblateness & asphericities temporal variations: outstanding some unsolved issues,Ali Kilcik,"Akdeniz University Faculty of Science, Department of Space Science and Technologies, 07058, Antalya, Turkey"

Cosmological search for sterile neutrinos after DESI 2024,Guo-Hong Du,"Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China"
Cosmological search for sterile neutrinos after DESI 2024,Tian-Nuo Li,"Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China"
Cosmological search for sterile neutrinos after DESI 2024,Peng-Ju Wu,"School of Physics, Ningxia University, Yinchuan 750021, China"
Cosmological search for sterile neutrinos after DESI 2024,Lu Feng,"College of Physical Science and Technology, Shenyang Normal University, Shenyang 110034, China; Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China"
Cosmological search for sterile neutrinos after DESI 2024,Sheng-Han Zhou,"Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China"
Cosmological search for sterile neutrinos after DESI 2024,Jing-Fei Zhang,"Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China"
Cosmological search for sterile neutrinos after DESI 2024,Xin Zhang,"Liaoning Key Laboratory of Cosmology and Astrophysics, College of Sciences, Northeastern University, Shenyang 110819, China; MOE Key Laboratory of Data Analytics and Optimization for Smart Industry, Northeastern University, Shenyang 110819, China; National Frontiers Science Center for Industrial Intelligence and Systems Optimization, Northeastern University, Shenyang 110819, China"

Galaxy cluster characterization with machine learning techniques,M. Sadikov,"Département de physique, Université de Montréal, C.P. 6128 Succ. Centre-ville, Montréal H3C 3J7, Canada; Centre de recherche en astrophysique du Québec (CRAQ)"
Galaxy cluster characterization with machine learning techniques,J. Hlavacek-Larrondo,"Département de physique, Université de Montréal, C.P. 6128 Succ. Centre-ville, Montréal H3C 3J7, Canada; Centre de recherche en astrophysique du Québec (CRAQ)"
Galaxy cluster characterization with machine learning techniques,L. Perreault-Levasseur,"Département de physique, Université de Montréal, C.P. 6128 Succ. Centre-ville, Montréal H3C 3J7, Canada; Centre de recherche en astrophysique du Québec (CRAQ); Mila - Québec Artificial Intelligence Institute, Montréal, Canada; Center for Computational Astrophysics, Flatiron Institute, 162 5th Avenue, New York, NY 10010, USA"
Galaxy cluster characterization with machine learning techniques,C. L. Rhea,"Département de physique, Université de Montréal, C.P. 6128 Succ. Centre-ville, Montréal H3C 3J7, Canada; Centre de recherche en astrophysique du Québec (CRAQ)"
Galaxy cluster characterization with machine learning techniques,M. McDonald,"Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"
Galaxy cluster characterization with machine learning techniques,M. Ntampaka,"Space Telescope Science Institute, Baltimore, MD 21218, USA; Department of Physics & Astronomy, Johns Hopkins University, Baltimore, MD 21218, USA"
Galaxy cluster characterization with machine learning techniques,J. ZuHone,"Center for Astrophysics | Harvard & Smithsonian, Cambridge, MA 02138 USA"

Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Tong Su,"Key Laboratory for Computational Astrophysics, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100012, China; School of Astronomy and Space Sciences, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China"
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Qi Guo,"Key Laboratory for Computational Astrophysics, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100012, China; School of Astronomy and Space Sciences, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China"
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Erlin Qiao,"Key Laboratory of Space Astronomy and Technology, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, China; School of Astronomy and Space Sciences, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China"
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Wenxiang Pei,"Key Laboratory for Computational Astrophysics, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100012, China"
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Luis C. Ho,"Kavli Institute for Astronomy and Astrophysics, Peking University, Beijing 100871, China; Department of Astronomy, School of Physics, Peking University, Beijing 100871, China"
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,Cedric G. Lacey,"Institute for Computational Cosmology, Department of Physics, University of Durham, South Road, Durham, DH1 3LE, UK"

GPU Accelerated Image Quality Assessment-Based Software for Transient Detection,X. Li,"University of Oxford, Oxford, the United Kingdom"
GPU Accelerated Image Quality Assessment-Based Software for Transient Detection,K. Adámek,"University of Oxford, Oxford, the United Kingdom"
GPU Accelerated Image Quality Assessment-Based Software for Transient Detection,W. Armour,"University of Oxford, Oxford, the United Kingdom"

Preliminary results from 5 years' spectral monitoring of Antares,B. Oostra,"Universidad de los Andes, Departamento de Física, Carrera 1 #18a - 12, 111711, Bogotá, Colombia"
Preliminary results from 5 years' spectral monitoring of Antares,M.G. Batista,"Universidad de los Andes, Departamento de Física, Carrera 1 #18a - 12, 111711, Bogotá, Colombia"

A trailing lognormal approximation of the Lyman-$\alpha$ forest: comparison with full hydrodynamic simulations at $2.2\leq z\leq 2.7$,B. Arya,"Indian Institute of Technology, Kanpur 208016, Uttar Pradesh, India"

The Giant Radio Array for Neutrino Detection (GRAND) and its prototype phases,Marion Guelfand,"Sorbonne Université, CNRS, Laboratoire de Physique Nucléaire et des Hautes Energies (LPNHE), 4 Pl. Jussieu, 75005 Paris, France; Sorbonne Université, CNRS, Institut d'Astrophysique de Paris, 98 bis bd Arago, 75014, France"

Circumstellar and circumbinary discs in multiple stellar systems,Nicolás Cuello,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"
Circumstellar and circumbinary discs in multiple stellar systems,Antoine Alaguero,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"
Circumstellar and circumbinary discs in multiple stellar systems,Pedro P. Poblete,"Univ. Grenoble Alpes, CNRS, IPAG, 38000 Grenoble, France"

Various constraints on BSM physics from extensive air showers and from ultra-high energy gamma-ray and neutrino searches,Olivier Deligny,"Laboratoire de Physique des 2 Infinis Irène Joliot-Curie (IJCLab), CNRS/IN2P3, Université Paris-Saclay, Orsay, France"

Implementing SIAv2 Over Rubin Observatory's Data Butler,Tim Jenness,"Vera C. Rubin Observatory Project Office, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
Implementing SIAv2 Over Rubin Observatory's Data Butler,Stelios Voutsinas,"Vera C. Rubin Observatory Project Office, 950 N. Cherry Ave., Tucson, AZ 85719, USA"
Implementing SIAv2 Over Rubin Observatory's Data Butler,Gregory P. Dubois-Felsmann,"Caltech/IPAC, California Institute of Technology, MS 100-22, Pasadena, CA 91125-2200, USA"
Implementing SIAv2 Over Rubin Observatory's Data Butler,Andrei Salnikov,"SLAC National Accelerator Laboratory, 2575 Sand Hill Rd., Menlo Park, CA 94025, USA"

A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Tanvi Sharma,"Institute of Astronomy, National Central University, 300 Zhongda Road, Zhongli 32001 Taoyuan, Taiwan"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Wen Ping Chen,"Institute of Astronomy, National Central University, 300 Zhongda Road, Zhongli 32001 Taoyuan, Taiwan; Department of Physics, National Central University, 300 Zhongda Road, Zhongli 32001 Taoyuan, Taiwan"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Beth Biller,"Institute for Astronomy, Royal Observatory, University of Edinburgh, Blackford Hill, Edinburgh EH93HJ, UK"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Loïc Albert,"Institut Trottier de recherche sur les exoplanètes, Université de Montréal, Montréal, QC, H3C 3J7, Canada; Département de physique, Université de Montréal, Montréal, QC, H3C 3J7, Canada"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Belinda Damian,"SUPA, School of Physics & Astronomy, University of St Andrews, North Haugh, St Andrews, KY16 9SS, UK; Department of Physics and Electronics, CHRIST (Deemed to be University), Hosur Road, Bengaluru 560029, India"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Jessy Jose,"Department of Physics, Indian Institute of Science Education and Research Tirupati, Yerpedu, Tirupati - 517619, Andhra Pradesh, India"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Bhavana Lalchand,"Institute of Astronomy, National Central University, 300 Zhongda Road, Zhongli 32001 Taoyuan, Taiwan"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Michael C. Liu,"Institute for Astronomy, University of Hawai'i, 2680 Woodlawn Drive, Honolulu HI 96822"
A Novel Survey for Young Substellar Objects with the W-band Filter. VII. Water-Bearing Objects in the Core of the Rho Ophiuchi Cloud Complex,Yumiko Oasa,"Faculty of Education / Graduate School of Science and Engineering, Saitama University 255, Shimo-Okubo, Sakura, Saitama 338–8570, Japan"

On the Role of Chapman's Hydrostatic Solar Wind Mechanism in Parker's Hydrodynamic Solar Wind Model,Bhimsen K. Shivamoggi,"University of Central Florida, Orlando, FL 32816-1364"

Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure,Hans Böhringer,"Max-Planck-Institut für Extraterrestrische Physik, Giessenbachstr.~1, 85748 Garching, Germany; Max-Planck-Institut für Physik, Boltzmannstr.~8, 85748 Garching, Germany; Universitäts-Sternwarte München, Fakultät für Physik, Ludwig-Maximilians-Universität München, Scheinerstr. 1, 81679 München, Germany"
Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure,Gayoung Chon,"Max-Planck-Institut für Extraterrestrische Physik, Giessenbachstr.~1, 85748 Garching, Germany; Max-Planck-Institut für Physik, Boltzmannstr.~8, 85748 Garching, Germany"
Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure,Joachim Trümper,"Max-Planck-Institut für Extraterrestrische Physik, Giessenbachstr.~1, 85748 Garching, Germany"
Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure,Renee C. Kraan-Korteweg,"Dept. of Astronomy, University of Cape Town, Privat Bag X3, Rondebosch, 7701, South Africa"
Unveiling the largest structures in the nearby Universe: Discovery of the Quipu superstructure,Norbert Schartel,"ESAC, European Space Agancy, Camino bajo del Castillo, Villanueva de la Cañada, 28692, Spain."

The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Nabeel Rehemtulla,"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA; NSF-Simons AI Institute for the Sky (SkAI), 172 E. Chestnut St., Chicago, IL 60611, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,W. V. Jacobson-Galán,"Department of Astronomy and Astrophysics, California Institute of Technology, Pasadena, CA 91125, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Avinash Singh,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Adam A. Miller,"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA; NSF-Simons AI Institute for the Sky (SkAI), 172 E. Chestnut St., Chicago, IL 60611, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Charles D. Kilpatrick,"Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA"
