Title,Author,Affiliations,Status
Gas and dust in the extremely metal-poor galaxy I Zw 18,M. Rosa-Gonzalez,"Instituto Nacional de Astrofisica, Optica y Electronica, Apartado Postal 51 y 216, 72000 Puebla, Mexico",Complete
Gas and dust in the extremely metal-poor galaxy I Zw 18,A. Weiss,"Max-Planck-Institut für Radioastronomie, Auf dem Hügel 69, D-53121 Bonn, Germany",Complete
Gas and dust in the extremely metal-poor galaxy I Zw 18,E. Manthey,"Argelander-Institut für Astronomie, Auf dem Hügel 71, D-53121 Bonn, Germany",Complete
Direct abundance measurements in the extremely metal-poor galaxy SBS 0335-052E,Y. Izotov,"Main Astronomical Observatory, National Academy of Sciences of Ukraine, 27 Akademika Zabolotnoho St, 03143 Kyiv, Ukraine",Complete
Direct abundance measurements in the extremely metal-poor galaxy SBS 0335-052E,T. X. Thuan,"Astronomy Department, University of Virginia, PO Box 400325, Charlottesville, VA 22904, USA",Complete
Direct abundance measurements in the extremely metal-poor galaxy SBS 0335-052E,G. Guseva,"Main Astronomical Observatory, National Academy of Sciences of Ukraine, 27 Akademika Zabolotnoho St, 03143 Kyiv, Ukraine",Complete
Title,Author,Affiliations,Status
Direct abundance measurements in the extremely metal-poor galaxy SBS 0335-052E,C. Kehrig,"Instituto de Astrofísica de Andalucía (CSIC), Glorieta de la Astronomía s/n, 18008 Granada, Spain",Complete
Direct abundance measurements in the extremely metal-poor galaxy SBS 0335-052E,J. M. Vílchez,"Instituto de Astrofísica de Andalucía (CSIC), Glorieta de la Astronomía s/n, 18008 Granada, Spain",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",T. M. Jackson,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. IV. Radio-loud AGN",T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
The star formation history of the metal-poor galaxy Leo P,K. B. W. McQuinn,"Minnesota Institute for Astrophysics, University of Minnesota, 116 Church Street SE, Minneapolis, MN 55455, USA",Complete
The star formation history of the metal-poor galaxy Leo P,E. D. Skillman,"Minnesota Institute for Astrophysics, University of Minnesota, 116 Church Street SE, Minneapolis, MN 55455, USA",Complete
The star formation history of the metal-poor galaxy Leo P,A. E. Dolphin,"Raytheon, 1151 East Hermans Road, Tucson, AZ 85756, USA",Complete
The star formation history of the metal-poor galaxy Leo P,J. M. Cannon,"Department of Physics and Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA",Complete
The star formation history of the metal-poor galaxy Leo P,K. L. Rhode,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
The star formation history of the metal-poor galaxy Leo P,J. J. Salzer,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
The star formation history of the metal-poor galaxy Leo P,E. J. Adams,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
The star formation history of the metal-poor galaxy Leo P,M. P. Haynes,"Center for Radiophysics and Space Research, Space Sciences Building, Cornell University, Ithaca, NY 14853, USA",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",L. Wang,"SRON Netherlands Institute for Space Research, Landleven 12, 9747 AD, Groningen, The Netherlands; Kapteyn Astronomical Institute, University of Groningen, Postbus 800, 9700 AV, Groningen, The Netherlands",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
Title,Author,Affiliations,Status
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
"A LOFAR Study of the Deep Fields: DR2 release. V. The Radio-SFR Relation",K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The chemical enrichment of the metal-poor galaxy I Zw 18,Y. Izotov,"Main Astronomical Observatory, National Academy of Sciences of Ukraine, 27 Akademika Zabolotnoho St, 03143 Kyiv, Ukraine",Complete
The chemical enrichment of the metal-poor galaxy I Zw 18,T. X. Thuan,"Astronomy Department, University of Virginia, PO Box 400325, Charlottesville, VA 22904, USA",Complete
The chemical enrichment of the metal-poor galaxy I Zw 18,G. Stasinska,"LUTH, Observatoire de Paris, CNRS, Université Paris Diderot, 5 place Jules Janssen, 92190 Meudon, France",Complete
The chemical enrichment of the metal-poor galaxy I Zw 18,S. Pustilnik,"Special Astrophysical Observatory, Russian Academy of Sciences, Nizhny Arkhyz, Karachai-Cherkessia 369167, Russia",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VI. The AGN/SFG separation,T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
HI observations of the extremely metal-poor galaxy AGC 198691,S. Janowiecki,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HI observations of the extremely metal-poor galaxy AGC 198691,J. J. Salzer,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HI observations of the extremely metal-poor galaxy AGC 198691,E. J. Adams,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
HI observations of the extremely metal-poor galaxy AGC 198691,J. M. Cannon,"Department of Physics and Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA",Complete
HI observations of the extremely metal-poor galaxy AGC 198691,M. P. Haynes,"Center for Radiophysics and Space Research, Space Sciences Building, Cornell University, Ithaca, NY 14853, USA",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
Title,Author,Affiliations,Status
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,M. Bonato,"INAF-Istituto di Radioastronomia, Via Gobetti 101, 40129 Bologna, Italy",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,G. Calistro Rivera,"European Southern Observatory, Karl-Schwarzschild-Straße 2, 85748 Garching bei München, Germany",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,A. Cochrane,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,M. Franco,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,J. S. Gürkan,"Thüringer Landessternwarte, Sternwarte 5, 07778 Tautenburg, Germany",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,G. Gurkan,"CSIRO Astronomy and Space Science, PO Box 1130, Bentley WA 6102, Australia",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,C. Hale,"Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,K. McAlpine,"Department of Physics & Electronics, Rhodes University, PO Box 94, Grahamstown 6140, South Africa",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,D. J. B. Smith,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VII. Evolution of SFGs,M. Vaccari,"Inter-university Institute for Data Intensive Astronomy, Department of Physics and Astronomy, University of the Western Cape, Robert Sobukwe Road, 7535 Bellville, Cape Town, South Africa",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,D. J. Schwarz,"Fakultät für Physik, Universität Bielefeld, Postfach 100131, 33501 Bielefeld, Germany",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,S. V. White,"Department of Physics & Electronics, Rhodes University, PO Box 94, Grahamstown 6140, South Africa",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,I. Prandoni,"INAF-Istituto di Radioastronomia, Via Gobetti 101, 40129 Bologna, Italy",Complete
The LOFAR Two-metre Sky Survey: Deep Fields DR2. VIII. Evolution of Radio-loud AGN,B. Mingo,"School of Physical Sciences, The Open University, Walton Hall, Milton Keynes MK7 6AA, UK",Complete
Low-metallicity star formation in the dwarf galaxy VII Zw 403,T. X. Thuan,"Astronomy Department, University of Virginia, PO Box 400325, Charlottesville, VA 22904, USA",Complete
Low-metallicity star formation in the dwarf galaxy VII Zw 403,Y. Izotov,"Main Astronomical Observatory, National Academy of Sciences of Ukraine, 27 Akademika Zabolotnoho St, 03143 Kyiv, Ukraine",Complete
Low-metallicity star formation in the dwarf galaxy VII Zw 403,D. Kunth,"Institut d'Astrophysique de Paris, CNRS, 98 bis boulevard Arago, 75014 Paris, France",Complete
A search for extremely metal-poor galaxies in the SDSS,D. C. Kniazev,"Special Astrophysical Observatory, Russian Academy of Sciences, Nizhny Arkhyz, Karachai-Cherkessia 369167, Russia",Complete
A search for extremely metal-poor galaxies in the SDSS,S. A. Pustilnik,"Special Astrophysical Observatory, Russian Academy of Sciences, Nizhny Arkhyz, Karachai-Cherkessia 369167, Russia",Complete
A search for extremely metal-poor galaxies in the SDSS,E. K. Grebel,"Astronomical Institute, University of Basel, Venusstrasse 7, CH-4102 Binningen, Switzerland",Complete
A search for extremely metal-poor galaxies in the SDSS,A. Y. Kniazev,"Special Astrophysical Observatory, Russian Academy of Sciences, Nizhny Arkhyz, Karachai-Cherkessia 369167, Russia",Complete
A search for extremely metal-poor galaxies in the SDSS,A. V. Pramsky,"Special Astrophysical Observatory, Russian Academy of Sciences, Nizhny Arkhyz, Karachai-Cherkessia 369167, Russia",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields DR2. IX. The 1.4 GHz luminosity function",T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
VLA observations of the extremely metal-poor galaxy AGC 198691,S. Janowiecki,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
VLA observations of the extremely metal-poor galaxy AGC 198691,J. J. Salzer,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
VLA observations of the extremely metal-poor galaxy AGC 198691,E. J. Adams,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
VLA observations of the extremely metal-poor galaxy AGC 198691,J. M. Cannon,"Department of Physics and Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA",Complete
VLA observations of the extremely metal-poor galaxy AGC 198691,M. P. Haynes,"Center for Radiophysics and Space Research, Space Sciences Building, Cornell University, Ithaca, NY 14853, USA",Complete
The star formation history of the extremely metal-poor galaxy I Zw 18,A. Aloisi,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
The star formation history of the extremely metal-poor galaxy I Zw 18,M. Tosi,"INAF-Osservatorio Astronomico di Bologna, Via Ranzani 1, I-40127 Bologna, Italy",Complete
The star formation history of the extremely metal-poor galaxy I Zw 18,L. Greggio,"INAF-Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, I-35122 Padova, Italy",Complete
The star formation history of the extremely metal-poor galaxy I Zw 18,C. Leitherer,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA",Complete
The star formation history of the extremely metal-poor galaxy I Zw 18,F. Annibali,"INAF-Osservatorio Astronomico di Bologna, Via Ranzani 1, I-40127 Bologna, Italy",Complete
Title,Author,Affiliations,Status
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands; Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",C. Tasse,"GEPI, Observatoire de Paris, CNRS, Université Paris Diderot, 5 place Jules Janssen, 92190 Meudon, France; Department of Physics & Electronics, Rhodes University, PO Box 94, Grahamstown 6140, South Africa",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. X. The ELAIS-N1 source catalogue",C. L. Hale,"Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,E. D. Skillman,"Minnesota Institute for Astrophysics, University of Minnesota, 116 Church Street SE, Minneapolis, MN 55455, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,K. B. W. McQuinn,"Minnesota Institute for Astrophysics, University of Minnesota, 116 Church Street SE, Minneapolis, MN 55455, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,A. E. Dolphin,"Raytheon, 1151 East Hermans Road, Tucson, AZ 85756, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,J. M. Cannon,"Department of Physics and Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,K. L. Rhode,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,J. J. Salzer,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,E. J. Adams,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
HST/WFC3 observations of the extremely metal-poor galaxy Leo P,M. P. Haynes,"Center for Radiophysics and Space Research, Space Sciences Building, Cornell University, Ithaca, NY 14853, USA",Complete
HI Content of the Extremely Metal-Poor Galaxy AGC 198691,S. Janowiecki,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HI Content of the Extremely Metal-Poor Galaxy AGC 198691,J. J. Salzer,"Department of Astronomy, Indiana University, 727 East 3rd Street, Bloomington, IN 47405, USA",Complete
HI Content of the Extremely Metal-Poor Galaxy AGC 198691,E. J. Adams,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
HI Content of the Extremely Metal-Poor Galaxy AGC 198691,J. M. Cannon,"Department of Physics and Astronomy, Macalester College, 1600 Grand Avenue, Saint Paul, MN 55105, USA",Complete
HI Content of the Extremely Metal-Poor Galaxy AGC 198691,M. P. Haynes,"Center for Radiophysics and Space Research, Space Sciences Building, Cornell University, Ithaca, NY 14853, USA",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",K. J. Duncan,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",P. N. Best,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",E. Kondapally,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",M. J. Hardcastle,"Centre for Astrophysics Research, Department of Physics, Astronomy and Mathematics, University of Hertfordshire, College Lane, Hatfield AL10 9AB, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",W. L. Williams,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",H. J. A. Röttgering,"Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",J. H. Sabater,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",Complete
"The LOFAR Two-metre Sky Survey: Deep Fields Data Release 2. XI. Cosmic Evolution of AGN",T. W. Shimwell,"ASTRON, Netherlands Institute for Radio Astronomy, Postbus 2, 7990 AA Dwingeloo, The Netherlands",Complete
